,SpecGen,daytype_code,daypart_code,dataper_code,Volume,Counts,day_type,day_part,data_period
0,Airport,0,0,1,67148.74520544933,845148,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
1,BYU,0,0,1,56647.805479431205,712981,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
2,ENSIGN,0,0,1,3786.12876712357,47653,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
3,Lagoon,0,0,1,10080.161643836449,126871,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
4,SLCC_AIRP,0,0,1,11692.720547945968,147167,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
5,SLCC_HL,0,0,1,5906.3068493149985,74338,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
6,SLCC_HM,0,0,1,11073.709589041819,139376,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
7,SLCC_JD,0,0,1,4097.263013698956,51569,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
8,SLCC_LB,0,0,1,2294.7342465753018,28882,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
9,SLCC_MEAD,0,0,1,2254.690410958876,28378,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
10,SLCC_ML,0,0,1,5747.72054794505,72342,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
11,SLCC_SC,0,0,1,8337.936986301076,104943,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
12,SLCC_TL,0,0,1,12404.293150686002,156123,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
13,SLCC_WEST,0,0,1,3725.824657534488,46894,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
14,SLC_Library,0,0,1,2294.7342465753018,28882,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
15,TempleSquare,0,0,1,13507.723287671997,170011,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
16,UOFU_MAIN,0,0,1,39229.84931505125,493755,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
17,UOFU_MED,0,0,1,31531.42191780543,396861,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
18,UVU_GENEVA,0,0,1,10375.723287673436,130591,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
